Gender,Age,Educational Qualification ,How many online courses have you taken before COVID-19 pandemic? [Before COVID-19] ,"
Female,24,PG,2,1,Whenever required,LinkedIn,"Less than 10,000",5,4,4,No,Yes
Female,25,PG,2,3 and more,Once in every 6 months,Udemy,"25,000 - 50,000",5,4,5,Yes,Yes
Female,20,UG,3 and more,3 and more,Whenever required,Coursera,"10,000 - 25,000",3,3,3,No,No
Male,20,UG,1,1,Once in every 6 months,Coursera,"Less than 10,000",4,4,4,Yes,Yes
Female,20,UG,3 and more,3 and more,Once in a year,Coursera,"Less than 10,000",5,5,5,Yes,Yes
Female,21,UG,2,3 and more,Once in every 6 months,LinkedIn,"Less than 10,000",5,4,5,Yes,Yes
Female,20,UG,2,1,Once in a year,Coursera,"Less than 10,000",4,4,4,Yes,Yes
Female,20,UG,2,2,Once in every 3 months,Coursera,"Less than 10,000",4,4,4,Yes,Yes
Female,21,UG,None,2,Whenever required,Coursera,"10,000 - 25,000",3,3,3,No,No
Female,20,UG,None,2,Once in every 3 months,LinkedIn,"Less than 10,000",4,4,4,Yes,Yes
Female,21,UG,1,1,Whenever required,Coursera,"Less than 10,000",3,3,3,No,Yes
Female,20,UG,None,3 and more,Whenever required,Coursera,"10,000 - 25,000",4,4,4,Yes,Yes
Female,30,Professional,1,3 and more,Once in every 6 months,Coursera,"25,000 - 50,000",5,5,5,Yes,Yes
Male,35,Professional,None,3 and more,Once in a year,Coursera,"10,000 - 25,000",5,2,5,No,Yes
Female,21,UG,2,1,Once in every 3 months,Coursera,"Less than 10,000",5,3,5,Yes,Yes
Male,39,Professional,1,3 and more,Once in every 3 months,Coursera,"10,000 - 25,000",5,1,5,No,No
Male,25,UG,1,1,Once in every 3 months,Coursera,"Less than 10,000",4,3,5,No,No
Male,39,Professional,3 and more,2,Once in every 3 months,Coursera,"10,000 - 25,000",5,5,4,Yes,No
Male,25,PG,2,3 and more,Once in every 3 months,Udemy,"Less than 10,000",5,2,5,Yes,Yes
Male,29,Professional,1,2,Once in every 3 months,Udemy,"10,000 - 25,000",4,5,5,Yes,Yes
Female,45,Professional,2,3 and more,Whenever required,LinkedIn,"10,000 - 25,000",4,3,4,Yes,Yes
Male,27,Professional,3 and more,3 and more,Once in every 3 months,Udemy,"Less than 10,000",5,2,5,Yes,Yes
Male,32,Professional,3 and more,3 and more,Whenever required,Coursera,"10,000 - 25,000",5,3,4,Yes,Yes
Male,26,PG,1,3 and more,Once in every 6 months,NPTEL,"25,000 - 50,000",5,4,5,Yes,Yes
Female,20,UG,3 and more,1,Once in every 6 months,Coursera,"10,000 - 25,000",5,5,5,Yes,Yes
Female,20,UG,1,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,5,Yes,Yes
Female,21,UG,1,1,Whenever required,Udemy,"Less than 10,000",5,5,5,Yes,Yes
Female,19,UG,1,2,Once in every 3 months,Udemy,"Less than 10,000",5,2,5,No,Yes
Female,43,Professional,1,2,Whenever required,LinkedIn,"10,000 - 25,000",4,4,4,Yes,Yes
Female,52,Professional,2,2,Once in every 3 months,LinkedIn,"Less than 10,000",5,5,5,Yes,Yes
Female,19,UG,1,1,Once in a year,Coursera,"10,000 - 25,000",4,4,4,Yes,Yes
Female,19,UG,1,1,Whenever required,Coursera,"10,000 - 25,000",3,3,3,Yes,Yes
Female,20,UG,1,3 and more,Once in every 6 months,Coursera,"10,000 - 25,000",4,4,4,Yes,Yes
Female,21,UG,1,2,Whenever required,NPTEL,"10,000 - 25,000",5,4,5,No,Yes
Female,19,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",4,5,4,Yes,Yes
Female,19,UG,None,2,Once in every 3 months,LinkedIn,"Less than 10,000",4,2,4,Yes,Yes
Female,19,Diploma,None,3 and more,Once in every 3 months,Coursera,"Less than 10,000",4,4,4,Yes,Yes
Female,20,UG,1,2,Once in every 6 months,Coursera,"Less than 10,000",4,4,4,Yes,Yes
Female,20,UG,2,2,Whenever required,Coursera,"Less than 10,000",5,5,5,Yes,Yes
Female,20,UG,1,1,Whenever required,LinkedIn,"Less than 10,000",5,5,5,Yes,Yes
Female,27,Professional,2,1,Whenever required,Udemy,"Less than 10,000",4,3,5,No,Yes
Female,24,UG,1,3 and more,Once in every 6 months,LinkedIn,"Less than 10,000",5,5,5,Yes,Yes
Female,36,Professional,2,3 and more,Once in every 6 months,Udemy,"10,000 - 25,000",5,3,5,No,Yes
Male,43,Professional,3 and more,1,Whenever required,LinkedIn,"Less than 10,000",4,5,5,Yes,Yes
Male,39,Professional,1,1,Whenever required,LinkedIn,"10,000 - 25,000",5,5,5,No,Yes
Female,54,Professional,1,2,Once in a year,LinkedIn,"10,000 - 25,000",5,4,5,No,Yes
Female,27,Professional,3 and more,1,Whenever required,LinkedIn,"10,000 - 25,000",5,4,5,Yes,Yes
Female,22,UG,2,2,Whenever required,LinkedIn,"Less than 10,000",5,3,5,Yes,No
Male,33,Professional,2,2,Whenever required,LinkedIn,"Less than 10,000",5,5,4,Yes,Yes
Male,41,Professional,2,3 and more,Whenever required,LinkedIn,"10,000 - 25,000",5,2,5,No,Yes
Male,40,Professional,3 and more,3 and more,Whenever required,NPTEL,"Less than 10,000",5,3,5,Yes,Yes
Female,22,UG,1,1,Whenever required,LinkedIn,"Less than 10,000",4,5,5,Yes,Yes
Male,55,Professional,1,1,Whenever required,LinkedIn,"Less than 10,000",5,2,5,No,Yes
Female,46,Professional,1,1,Whenever required,Coursera,"Less than 10,000",5,1,5,No,No
Male,49,Professional,2,2,Whenever required,LinkedIn,"Less than 10,000",3,5,4,Yes,Yes
Male,24,UG,1,1,Whenever required,Coursera,"Less than 10,000",4,5,5,Yes,Yes
Male,23,Diploma,2,2,Whenever required,Coursera,"Less than 10,000",3,3,4,Yes,Yes
Female,32,Professional,1,3 and more,Once in a year,LinkedIn,"10,000 - 25,000",4,4,4,Yes,Yes
Male,40,Professional,1,3 and more,Whenever required,LinkedIn,"10,000 - 25,000",5,5,5,Yes,Yes
Male,25,UG,1,1,Whenever required,NPTEL,"Less than 10,000",5,5,5,Yes,Yes
Female,52,Professional,2,3 and more,Once in every 6 months,LinkedIn,"Less than 10,000",5,4,5,Yes,Yes
Male,57,Professional,1,2,Whenever required,Udemy,"Less than 10,000",2,5,5,Yes,Yes
Female,34,Professional,3 and more,3 and more,Whenever required,LinkedIn,"Less than 10,000",4,3,4,Yes,Yes
Female,45,Professional,1,1,Once in every 3 months,LinkedIn,"Less than 10,000",5,5,4,Yes,Yes
Male,48,Professional,1,1,Whenever required,LinkedIn,"Less than 10,000",4,5,5,Yes,Yes
Female,39,Professional,1,1,Whenever required,LinkedIn,"Less than 10,000",5,4,5,Yes,Yes
Male,30,Professional,3 and more,1,Whenever required,Udemy,"Less than 10,000",3,4,4,Yes,Yes
Male,43,Professional,1,1,Whenever required,LinkedIn,"Less than 10,000",4,4,5,No,Yes
Female,37,Professional,2,1,Whenever required,NPTEL,"Less than 10,000",5,4,5,Yes,Yes
Female,33,Professional,1,1,Whenever required,Coursera,"Less than 10,000",4,4,4,Yes,Yes
Male,47,Professional,1,3 and more,Whenever required,Coursera,"Less than 10,000",4,4,3,Yes,Yes
Male,23,UG,1,2,Whenever required,Coursera,"Less than 10,000",4,3,3,Yes,No
Female,26,PG,2,2,Whenever required,LinkedIn,"Less than 10,000",3,2,3,Yes,Yes
Female,29,Professional,1,1,Whenever required,Coursera,"Less than 10,000",3,3,4,No,Yes
Male,50,Professional,3 and more,3 and more,Once in every 3 months,LinkedIn,"10,000 - 25,000",5,4,4,Yes,No
Female,40,Professional,2,1,Whenever required,NPTEL,"Less than 10,000",4,3,4,Yes,No
Female,30,Professional,2,1,Once in a year,Udemy,"Less than 10,000",4,4,3,Yes,No
Male,20,UG,3 and more,3 and more,Whenever required,Udemy,"Less than 10,000",5,4,4,Yes,No
Male,29,Professional,1,2,Whenever required,Coursera,"Less than 10,000",5,4,4,Yes,Yes
Female,30,Professional,1,2,Once in every 6 months,Coursera,"Less than 10,000",5,4,4,Yes,No
Male ,48,Professional,2,1,Once in a year,LinkedIn,"Less than 10,000",5,4,5,No,Yes
Female,20,UG,3 and more,1,Once in every 3 months,LinkedIn,"Less than 10,000",4,5,5,No,Yes
Male,37,Professional,3 and more,3 and more,Once in a year,Coursera,"Less than 10,000",4,5,5,No,No
Male,26,PG,3 and more,None,Whenever required,Coursera,"Less than 10,000",3,4,5,No,No
Male,43,Professional,2,None,Once in a year,Coursera,"Less than 10,000",3,3,3,No,Yes
Female,37,Professional,2,1,Once in every 3 months,Udemy,"Less than 10,000",4,3,3,No,Yes
Male,32,Professional,1,2,Once in every 6 months,Udemy,"Less than 10,000",3,3,3,Yes,No
Female,41,Professional,2,2,Whenever required,Coursera,"Less than 10,000",4,3,3,No,Yes
Male ,29,Professional,2,3 and more,Once in a year,LinkedIn,"Less than 10,000",3,3,3,Yes,Yes
Female,24,UG,1,3 and more,Once in every 3 months,NPTEL,"Less than 10,000",5,3,3,No,Yes
Male ,36,Professional,1,None,Once in every 6 months,Udemy,"Less than 10,000",5,5,4,Yes,No
Female,32,Professional,2,2,Whenever required,Udemy,"Less than 10,000",5,5,5,Yes,Yes
Male,19,Diploma,3 and more,1,Whenever required,Udemy,"Less than 10,000",5,5,5,No,Yes
Female,30,Professional,2,None,Whenever required,Coursera,"Less than 10,000",3,3,3,No,Yes
Male,23,PG,1,1,Once in every 6 months,NPTEL,"Less than 10,000",3,3,4,Yes,No
Male,25,PG,2,3 and more,Once in every 6 months,Coursera,"10,000 - 25,000",4,4,4,Yes,No
Female,22,UG,1,3 and more,Once in a year,NPTEL,"Less than 10,000",3,3,4,No,No
Female,24,PG,3 and more,2,Once in a year,LinkedIn,"Less than 10,000",5,5,4,Yes,No
Male,36,Professional,None,2,Once in every 3 months,Udemy,"Less than 10,000",5,5,4,No,No
Male,19,Diploma,None,1,Once in every 3 months,Udemy,"10,000 - 25,000",5,3,4,No,Yes
Male,24,PG,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,4,4,No,Yes
Male,36,Professional,1,3 and more,Whenever required,Coursera,"10,000 - 25,000",5,4,4,Yes,Yes
Female,35,Professional,None,None,Whenever required,Coursera,"Less than 10,000",5,4,4,No,Yes
Female,55,Professional,None,3 and more,Whenever required,NPTEL,"Less than 10,000",5,4,4,Yes,Yes
Female,43,Professional,3 and more,None,Whenever required,Coursera,"Less than 10,000",5,4,5,Yes,Yes
Female,38,Professional,None,2,Whenever required,LinkedIn,"Less than 10,000",5,4,5,Yes,Yes
Female,41,Professional,None,S,Whenever required,LinkedIn,"Less than 10,000",4,4,5,No,Yes
Male,43,Professional,None,1,Whenever required,NPTEL,"Less than 10,000",4,4,5,Yes,Yes
Male,44,Professional,None,2,Whenever required,Coursera,"Less than 10,000",3,3,5,Yes,Yes
Female,40,Professional,1,2,Whenever required,Udemy,"Less than 10,000",4,3,3,No,Yes
Female,40,Professional,2,None,Whenever required,Coursera,"Less than 10,000",5,5,4,Yes,No
Male,44,Professional,2,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,3,No,Yes
Male,32,Professional,2,3 and more,Whenever required,NPTEL,"Less than 10,000",5,5,4,Yes,Yes
Female,45,Professional,3 and more,3 and more,Once in every 6 months,Coursera,"Less than 10,000",5,5,5,No,Yes
Female,44,Professional,3 and more,3 and more,Once in every 6 months,LinkedIn,"Less than 10,000",5,5,3,Yes,Yes
Male,32,Professional,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,4,No,Yes
Male,50,Professional,3 and more,None,Whenever required,LinkedIn,"Less than 10,000",5,5,4,Yes,Yes
Male,37,Professional,3 and more,3 and more,Once in every 3 months,Coursera,"10,000 - 25,000",5,5,4,Yes,Yes
Female,50,Professional,None,None,Whenever required,Coursera,"Less than 10,000",5,5,4,No,Yes
Female,52,Professional,1,2,Whenever required,LinkedIn,"Less than 10,000",5,5,4,Yes,Yes
Male,52,Professional,3 and more,2,Whenever required,Coursera,"Less than 10,000",5,5,4,Yes,Yes
Male,55,Professional,None,None,Whenever required,Coursera,"Less than 10,000",5,5,4,No,Yes
Male,53,Professional,1,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,5,4,No,Yes
Male,53,Professional,2,2,Whenever required,LinkedIn,"Less than 10,000",3,5,4,No,Yes
Male,43,Professional,None,None,Whenever required,LinkedIn,"Less than 10,000",3,5,4,Yes,No
Male,41,Professional,None,1,Whenever required,NPTEL,"Less than 10,000",3,5,4,Yes,Yes
Female,19,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",3,5,4,Yes,Yes
Female,19,Diploma,None,2,Whenever required,LinkedIn,"Less than 10,000",3,3,4,Yes,Yes
Male,23,PG,None,3 and more,Whenever required,NPTEL,"10,000 - 25,000",3,4,4,No,No
Female,23,PG,None,3 and more,Whenever required,Coursera,"Less than 10,000",3,4,4,Yes,No
Male,19,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",3,3,4,Yes,No
Female,19,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",3,4,4,Yes,No
Male,19,UG,None,3 and more,Whenever required,NPTEL,"Less than 10,000",4,3,4,Yes,Yes
Female,19,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",4,3,4,Yes,No
Female,19,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",4,3,4,Yes,Yes
Male,19,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",4,3,4,Yes,Yes
Male,20,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",4,3,4,No,Yes
Male,21,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",4,4,4,Yes,Yes
Female,19,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",4,5,4,No,Yes
Female,18,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,4,4,No,Yes
Female,19,UG,None,3 and more,Whenever required,Udemy,"Less than 10,000",4,4,4,Yes,Yes
Female,19,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,4,No,Yes
Female,23,UG,1,3 and more,Whenever required,LinkedIn,"Less than 10,000",4,4,4,Yes,No
Female,22,UG,None,3 and more,Whenever required,NPTEL,"Less than 10,000",3,4,4,Yes,Yes
Female,22,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,4,Yes,Yes
Female,21,UG,None,3 and more,Whenever required,Udemy,"Less than 10,000",4,4,4,Yes,Yes
Female,18,Diploma,None,3 and more,Whenever required,Coursera,"Less than 10,000",4,5,4,Yes,No
Female,18,Diploma,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",4,5,3,Yes,Yes
Female,19,UG,None,3 and more,Whenever required,NPTEL,"Less than 10,000",5,4,3,No,No
Female,19,Diploma,None,3 and more,Whenever required,NPTEL,"Less than 10,000",5,4,3,Yes,No
Female,21,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,4,3,No,Yes
Female,21,Diploma,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,4,3,No,Yes
Female,21,Diploma,None,3 and more,Whenever required,NPTEL,"Less than 10,000",5,4,3,No,Yes
Female,20,UG,None,3 and more,Whenever required,Udemy,"Less than 10,000",5,4,3,No,Yes
Female,19,Diploma,None,3 and more,Whenever required,NPTEL,"Less than 10,000",5,4,3,No,Yes
Female,19,Diploma,None,3 and more,Whenever required,NPTEL,"Less than 10,000",5,5,4,Yes,No
Female,19,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,5,3,No,No
Female,19,UG,None,3 and more,Whenever required,NPTEL,"Less than 10,000",5,5,4,Yes,Yes
Female,44,Professional,3 and more,3 and more,Whenever required,NPTEL,"Less than 10,000",5,5,3,Yes,No
Female,50,Professional,3 and more,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,4,Yes,Yes
Female,20,UG,None,3 and more,Whenever required,NPTEL,"Less than 10,000",5,5,3,No,Yes
Female,21,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,4,No,Yes
Female,19,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,3,No,Yes
Female,19,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,4,No,Yes
Female,19,Diploma,None,3 and more,Whenever required,NPTEL,"Less than 10,000",5,5,3,No,No
Male,23,UG,None,3 and more,Whenever required,NPTEL,"10,000 - 25,000",5,5,5,No,No
Female,23,Diploma,1,3 and more,Whenever required,NPTEL,"10,000 - 25,000",5,5,5,No,Yes
Male,24,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",3,3,5,Yes,Yes
Male,24,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,4,5,Yes,No
Female,25,PG,None,3 and more,Whenever required,Udemy,"Less than 10,000",5,4,5,Yes,Yes
Male,24,Diploma,None,3 and more,Whenever required,Coursera,"Less than 10,000",3,4,5,No,Yes
Male,23,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",4,3,5,Yes,No
Female,19,UG,None,3 and more,Whenever required,NPTEL,"Less than 10,000",4,3,4,Yes,Yes
Female,19,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",4,3,3,No,No
Female,19,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",4,3,3,No,No
Male,19,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",4,3,3,Yes,Yes
Male,19,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",4,4,3,No,Yes
Male,19,UG,None,2,Whenever required,Coursera,"Less than 10,000",4,5,3,No,No
Male,19,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",3,5,5,No,Yes
Male,19,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",4,5,5,No,Yes
Male,19,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",3,5,4,No,Yes
Female,20,Diploma,1,3 and more,Whenever required,LinkedIn,"Less than 10,000",3,5,4,No,Yes
Female,20,UG,1,3 and more,Whenever required,LinkedIn,"Less than 10,000",3,5,4,No,Yes
Female,20,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",3,3,4,Yes,Yes
Female,20,UG,None,3 and more,Whenever required,NPTEL,"Less than 10,000",5,4,4,Yes,No
Female,20,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,4,4,Yes,Yes
Male,19,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,5,4,Yes,No
Male,19,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,4,Yes,Yes
Male,20,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,4,Yes,No
Male,21,Diploma,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,5,4,Yes,Yes
Female,19,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,5,5,Yes,Yes
Male,19,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,5,Yes,Yes
Male,19,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,5,5,No,No
Male,19,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,5,Yes,Yes
Male,18,UG,None,3 and more,Whenever required,NPTEL,"Less than 10,000",5,5,5,No,Yes
Male,19,UG,1,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,5,No,Yes
Male,19,UG,None,3 and more,Once in every 3 months,Coursera,"Less than 10,000",5,5,3,No,Yes
Male,18,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,3,No,Yes
Female,27,Professional,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,3,No,No
Female,28,Professional,3 and more,3 and more,Whenever required,Udemy,"10,000 - 25,000",5,5,4,No,Yes
Male,26,PG,3 and more,3 and more,Whenever required,Udemy,"10,000 - 25,000",5,5,4,Yes,Yes
Female,25,PG,3 and more,3 and more,Once in every 3 months,Coursera,"10,000 - 25,000",5,5,4,No,Yes
Female,25,PG,2,3 and more,Whenever required,Udemy,"Less than 10,000",5,5,4,No,Yes
Female,22,UG,2,3 and more,Whenever required,Udemy,"Less than 10,000",5,5,4,No,Yes
Female,22,UG,2,3 and more,Whenever required,NPTEL,"Less than 10,000",5,5,4,No,No
Male,21,UG,None,None,Once in every 3 months,NPTEL,"Less than 10,000",5,5,4,No,Yes
Female,21,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,5,4,No,Yes
Male,21,UG,None,3 and more,Whenever required,Udemy,"Less than 10,000",5,5,4,No,Yes
Male,19,Diploma,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,4,No,Yes
Male,19,UG,None,3 and more,Whenever required,Udemy,"Less than 10,000",5,5,4,No,No
Male,19,UG,None,None,Whenever required,Udemy,"Less than 10,000",5,5,4,No,No
Male,19,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,5,4,No,No
Female,19,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,5,4,Yes,Yes
Female,19,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,4,Yes,No
Female,19,Diploma,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,5,4,Yes,No
Female,19,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,5,5,Yes,No
Female,19,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,5,5,Yes,Yes
Female,19,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,5,No,Yes
Female,19,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,5,5,No,No
Female,19,UG,None,3 and more,Whenever required,Udemy,"Less than 10,000",5,5,4,No,No
Male,19,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,5,5,No,Yes
Male,19,Diploma,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,4,No,Yes
Male,19,UG,1,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,5,4,No,Yes
Female,19,UG,2,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,5,4,No,Yes
Female,19,UG,2,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,4,Yes,No
Female,19,UG,2,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,5,5,No,Yes
Female,20,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,4,Yes,No
Female,20,UG,1,3 and more,Whenever required,NPTEL,"Less than 10,000",5,5,5,No,Yes
Female,19,UG,2,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,5,No,No
Male,26,PG,3 and more,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,5,No,Yes
Male,25,PG,2,2,Whenever required,LinkedIn,"Less than 10,000",5,5,5,Yes,Yes
Male,24,UG,1,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,5,Yes,Yes
Male,25,PG,1,None,Once in a year,NPTEL,"Less than 10,000",5,5,4,No,No
Female,25,PG,None,2,Once in a year,Coursera,"Less than 10,000",5,5,4,No,Yes
Male,25,PG,None,2,Whenever required,LinkedIn,"Less than 10,000",5,5,4,Yes,Yes
Male,27,Professional,None,1,Whenever required,Coursera,"Less than 10,000",5,5,4,No,Yes
Male,19,UG,None,None,Whenever required,LinkedIn,"Less than 10,000",5,5,5,No,Yes
Male,19,Diploma,None,None,Whenever required,Coursera,"Less than 10,000",5,5,5,Yes,Yes
Male,19,UG,None,1,Whenever required,NPTEL,"Less than 10,000",5,5,4,Yes,Yes
Female,33,Professional,1,1,Whenever required,Coursera,"Less than 10,000",5,5,5,No,No
Male,25,PG,None,None,Whenever required,Coursera,"Less than 10,000",4,5,3,No,Yes
Female,25,PG,None,3 and more,Whenever required,NPTEL,"10,000 - 25,000",4,3,3,No,No
Female,27,Professional,1,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,4,3,No,No
Female,24,UG,3 and more,3 and more,Once in every 3 months,LinkedIn,"Less than 10,000",3,3,3,No,No
Male,23,UG,None,None,Whenever required,Udemy,"Less than 10,000",4,3,3,No,No
Male,27,Professional,2,3 and more,Whenever required,LinkedIn,"Less than 10,000",2,3,3,No,No
Male,43,Professional,3 and more,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,5,Yes,No
Female,45,Professional,None,None,Whenever required,Coursera,"Less than 10,000",3,3,2,No,Yes
Male,39,Professional,3 and more,3 and more,Whenever required,LinkedIn,"Less than 10,000",4,4,2,Yes,Yes
Female,36,Professional,1,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,3,Yes,Yes
Male,21,Diploma,None,None,Once in a year,Coursera,"Less than 10,000",3,3,3,Yes,Yes
Male,45,Professional,1,3 and more,Whenever required,Coursera,"Less than 10,000",3,3,3,Yes,Yes
Female,33,Professional,2,3 and more,Once in a year,NPTEL,"10,000 - 25,000",3,3,4,Yes,No
Male,24,PG,2,3 and more,Whenever required,Udemy,"10,000 - 25,000",3,3,3,Yes,No
